time,ax,ay,az,aT
5.1800,-0.7794,-8.9714,-3.9599,9.837
5.1810,-0.1791,-8.8872,-3.7230,9.637
5.1830,0.2978,-8.7589,-3.6622,9.498
5.1930,0.5248,-8.6942,-3.5651,9.411
5.2020,0.5995,-8.3336,-3.4971,9.057
5.2080,0.7453,-7.8864,-3.0589,8.492
5.2170,1.2623,-7.3903,-2.2772,7.836
5.2250,2.0496,-7.0068,-1.8927,7.542
5.2380,2.9693,-7.0143,-1.8420,7.836
5.2500,3.8699,-7.5036,-1.6206,8.597
5.2550,4.5770,-8.0519,-1.3451,9.359
5.2670,5.2759,-8.2204,-0.6887,9.792
5.2750,5.8222,-8.0430,0.0353,9.929
5.2890,6.0688,-7.7509,0.9324,9.888
5.2960,6.4532,-7.2680,1.8808,9.900
5.3230,7.1209,-6.7456,2.9922,10.255
5.3260,7.3455,-6.0708,4.0085,10.338
5.3280,5.0348,-5.5033,5.5164,9.277
5.3360,4.4633,-4.0664,3.3083,6.885
5.3460,5.9697,-3.3296,3.6422,7.745
5.3590,6.4539,-1.9671,4.6366,8.187
5.3720,6.2393,-0.5995,5.4607,8.313
5.3760,5.2329,0.8147,5.4995,7.635
5.3890,3.5896,1.8452,4.6181,6.133
5.3990,1.7737,2.3054,3.3322,4.423
5.4070,0.2691,2.4649,2.2110,3.322
5.4210,-0.8875,2.5313,1.4857,3.066
5.4290,-1.6932,2.5705,1.1840,3.298
5.4570,-2.1028,2.5347,0.9640,3.432
5.4590,-1.9498,2.3378,0.8125,3.151
5.4620,-1.6691,2.1678,0.8226,2.857
5.4710,-1.1041,1.9242,1.0658,2.461
5.4770,-0.1046,1.6077,1.6887,2.334
5.4900,0.6373,1.4211,2.0224,2.553
5.5050,0.9815,1.1909,2.0935,2.601
5.5160,1.5891,0.8393,1.9270,2.635
5.5190,2.1925,0.4676,1.7911,2.869
5.5270,2.4678,0.2633,1.7114,3.015
5.5390,2.6752,0.4570,1.4799,3.091
5.5570,2.7241,0.8677,1.0880,3.059
5.5580,2.9037,1.3553,0.8248,3.309
5.6170,3.0227,1.8693,0.4773,3.586
5.6180,3.1884,2.2701,0.5595,3.954
5.6200,3.5560,2.4608,0.9812,4.434
5.6200,3.8964,2.6584,1.2574,4.882
5.6210,4.2221,2.8298,1.8377,5.405
5.6230,4.5713,2.8566,2.5217,5.951
5.6270,5.0332,2.9644,3.3319,6.725
5.6380,5.4695,3.2664,4.0792,7.565
5.6460,5.6508,3.8673,4.7825,8.352
5.6560,5.7853,4.4008,5.1692,8.919
5.6680,6.2542,4.8566,5.5574,9.674
5.6750,6.6209,5.2800,5.8892,10.315
5.6900,6.9798,5.6439,6.0725,10.837
5.7070,7.2706,5.9191,6.2727,11.280
5.7640,7.6816,6.0518,6.5090,11.747
5.7660,8.2210,5.9752,7.1114,12.404
5.7690,8.6789,5.8595,7.4804,12.869
5.7700,9.0245,5.8327,7.8061,13.281
5.7710,9.2333,5.7607,7.8781,13.435
5.7720,9.2369,5.6953,7.5896,13.242
5.7730,8.9054,5.7697,7.0318,12.730
5.7760,8.7491,5.5750,6.3408,12.159
5.7910,8.8954,4.9659,5.3744,11.518
5.8040,8.9351,4.2091,4.5782,10.886
5.8060,8.8068,3.3716,3.9104,10.209
5.8160,8.7033,2.5140,3.6214,9.756
5.8390,8.7201,1.5707,3.5352,9.540
5.8450,8.5845,0.7838,3.6641,9.367
5.8820,8.5964,-0.0954,4.0307,9.495
5.8840,8.5194,-0.7746,4.3583,9.601
5.8850,8.0129,-1.0133,4.3424,9.170
5.8860,8.0427,-1.7110,4.6348,9.439
5.8930,7.9806,-2.3206,4.7197,9.558
5.8970,7.6366,-2.7477,4.6793,9.368
