time,ax,ay,az,aT
6.5640,-11.8440,-11.5366,2.1006,16.667
6.5730,-11.9761,-11.7400,1.8808,16.876
6.5840,-11.0107,-12.4938,1.3027,16.704
6.5960,-9.7950,-13.7746,0.1989,16.903
6.6040,-9.8061,-14.4936,-1.3304,17.550
6.6870,-11.5115,-13.6383,-2.2622,17.990
6.6900,-13.7635,-12.1595,-2.3219,18.512
6.6940,-15.5046,-11.0584,-2.1668,19.167
6.6970,-15.8359,-10.5495,-2.0085,19.134
6.7010,-14.4548,-10.8964,-1.3687,18.153
6.7020,-11.3270,-12.1438,-0.7877,16.625
6.7040,-8.6062,-13.2152,-0.7727,15.789
6.7060,-6.3466,-13.6380,-1.0496,15.079
6.7070,-4.5942,-13.9459,-1.5992,14.770
6.7140,-3.4869,-14.0916,-2.2766,14.694
6.7250,-2.9222,-13.8600,-2.6867,14.417
6.7290,-2.6502,-13.5325,-2.8722,14.086
6.7370,-2.2828,-13.4567,-2.9171,13.957
6.7540,-1.7904,-13.4298,-2.9106,13.858
6.8030,-1.4206,-13.2641,-2.6243,13.596
6.8070,-1.3310,-12.7066,-2.1115,12.949
6.8120,-1.4720,-11.8621,-1.5429,12.052
6.8140,-1.5992,-11.3100,-1.0054,11.467
6.8160,-1.5051,-10.8659,-0.4071,10.977
6.8170,-1.4369,-10.4483,0.1977,10.548
6.8220,-1.2161,-10.1454,0.7560,10.246
6.8280,-0.7735,-9.6983,0.9157,9.772
6.8340,-0.2174,-9.3146,0.6268,9.338
6.8530,0.5594,-9.1203,0.1708,9.139
6.9010,1.8369,-8.7643,-0.5321,8.971
6.9040,3.1168,-8.1776,-1.3583,8.856
6.9060,4.2239,-7.5723,-2.2773,8.965
6.9080,5.0939,-6.9404,-3.2323,9.196
6.9130,5.5339,-6.3140,-3.8086,9.219
6.9140,5.6946,-5.5341,-4.2791,9.020
6.9200,5.6814,-4.9040,-4.4530,8.727
6.9710,5.9115,-4.3537,-4.6373,8.684
6.9720,6.2668,-4.0004,-4.7664,8.831
6.9730,6.7636,-3.4969,-4.4056,8.797
6.9770,7.2498,-2.8545,-3.9569,8.739
6.9800,7.8067,-2.4840,-3.6340,8.962
6.9820,8.4136,-2.2965,-3.1702,9.280
6.9850,8.7577,-1.8603,-2.5955,9.322
6.9950,8.9238,-1.4924,-1.9119,9.247
7.0050,9.0235,-1.1089,-1.4302,9.203
7.0160,9.1064,-0.6232,-1.0713,9.190
7.0230,9.3920,-0.2818,-0.8253,9.432
7.0390,9.8192,0.0447,-0.6348,9.840
7.0900,10.3118,0.3431,-0.4563,10.328
7.0960,10.7340,0.7721,-0.0510,10.762
7.0980,11.2345,1.0019,0.3337,11.284
7.1000,11.9555,0.9717,0.7355,12.017
7.1030,12.5981,1.1613,1.2539,12.714
7.1050,13.0963,1.7159,1.9264,13.348
7.1080,13.4408,2.2878,2.2832,13.824
7.1180,13.7598,2.4815,2.5371,14.210
7.1310,14.1531,2.2842,2.6632,14.582
7.1360,14.4499,2.1763,3.0438,14.926
7.1450,14.3658,2.4994,3.3897,14.970
7.1540,14.1171,2.9201,3.6965,14.882
7.1640,13.7395,3.3873,3.7017,14.627
7.1730,13.8685,3.5754,3.3634,14.712
7.1920,14.3766,3.4551,2.8304,15.054
7.1980,14.9100,3.1254,2.3578,15.415
7.2030,15.0215,2.6906,2.1035,15.405
7.2380,14.6572,2.1250,2.1465,14.965
7.2400,14.0818,1.6140,2.2461,14.351
7.2430,13.3099,1.0894,2.4899,13.585
7.2460,12.6387,0.6942,2.9357,12.994
7.2560,11.9360,0.3988,3.5600,12.462
7.2650,11.9237,-0.0644,4.2289,12.652
7.2750,12.2606,-0.7050,4.7274,13.159
7.2850,12.7717,-1.6384,4.8240,13.750
7.2940,12.8465,-2.7385,4.0747,13.753
7.3100,12.6611,-3.6799,2.9277,13.506
7.3170,11.9250,-4.6170,1.7548,12.907
7.3230,10.8293,-5.3205,0.9686,12.105
7.3520,9.6357,-5.9562,0.4011,11.335
7.3540,8.6053,-6.3809,0.2451,10.716
7.3570,7.7096,-6.9209,0.1887,10.362
7.3640,6.7074,-7.3927,0.3548,9.988
7.3810,5.9027,-7.9335,0.4050,9.897
7.3850,5.0724,-8.5911,0.6162,9.996
7.4010,4.1770,-9.1187,0.7482,10.058
7.4110,3.2566,-9.6085,0.8249,10.179
7.4150,2.4449,-10.0910,0.6356,10.402
7.4230,1.8512,-10.4423,0.2621,10.608
7.4480,1.6214,-10.8556,-0.2726,10.979
7.4510,1.1944,-11.4255,-0.5171,11.499
7.5000,0.6643,-11.8271,-0.5088,11.857
7.5020,-0.0111,-12.0771,-0.4328,12.085
7.5050,-0.5959,-12.3249,-0.3959,12.346
7.5070,-1.1617,-12.7266,-0.3885,12.785
7.5090,-1.8338,-13.1614,-0.4460,13.296
7.5130,-2.4449,-13.5757,-0.5098,13.803
7.5190,-2.9545,-13.5824,-0.8224,13.924
7.6060,-3.6563,-13.5868,-1.1357,14.116
7.6090,-4.2846,-13.3747,-1.4772,14.122
7.6140,-5.1611,-13.0373,-1.5835,14.111
7.6210,-6.0151,-12.6968,-1.3668,14.116
7.6220,-6.8568,-12.4586,-1.1337,14.266
7.6230,-7.6825,-12.3311,-0.7629,14.548
7.6250,-8.6559,-12.0790,-0.1733,14.861
7.6320,-9.4196,-11.7156,0.2429,15.035
7.6330,-10.1190,-11.5111,0.6533,15.340
7.6350,-10.8712,-11.6212,0.7171,15.930
7.6370,-11.8606,-11.7077,0.8155,16.686
7.6400,-13.0373,-11.6237,0.8830,17.489
7.6450,-14.1168,-11.4809,0.9195,18.219
7.6560,-14.4855,-11.9585,0.6174,18.794
7.6750,-13.8315,-12.5254,-0.4624,18.666
7.6790,-13.7318,-12.6129,-1.6078,18.715
7.6840,-14.3104,-12.1566,-2.3478,18.923
7.6940,-14.7603,-11.7796,-2.5901,19.061
7.7150,-14.5760,-12.0327,-2.4560,19.060
7.7190,-13.6876,-12.6765,-1.6134,18.726
7.7240,-11.7685,-13.5012,-0.1902,17.911
