time,gFx,gFy,gFz,TgF
0.809000,-0.6274,-0.7295,0.2944,1.006
0.811000,-0.6298,-0.7256,0.2986,1.006
0.812000,-0.6313,-0.7254,0.3025,1.008
0.813000,-0.6323,-0.7261,0.3056,1.010
0.814000,-0.6340,-0.7246,0.3103,1.012
0.815000,-0.6359,-0.7210,0.3193,1.013
0.818000,-0.6364,-0.7183,0.3225,1.012
0.820000,-0.6357,-0.7146,0.3266,1.011
0.821000,-0.6379,-0.7110,0.3320,1.011
0.823000,-0.6369,-0.7095,0.3350,1.011
0.825000,-0.6347,-0.7046,0.3394,1.007
0.827000,-0.6335,-0.7019,0.3435,1.006
0.829000,-0.6335,-0.7019,0.3450,1.006
0.831000,-0.6337,-0.7024,0.3511,1.009
0.833000,-0.6313,-0.7019,0.3513,1.007
0.835000,-0.6313,-0.7014,0.3499,1.006
0.837000,-0.6342,-0.6987,0.3494,1.006
0.839000,-0.6367,-0.6968,0.3467,1.006
0.841000,-0.6379,-0.6970,0.3457,1.006
0.843000,-0.6401,-0.6980,0.3413,1.007
0.845000,-0.6401,-0.6965,0.3384,1.005
0.847000,-0.6406,-0.6968,0.3374,1.005
0.849000,-0.6394,-0.6970,0.3286,1.001
0.853000,-0.6416,-0.6980,0.3225,1.001
0.854000,-0.6425,-0.6982,0.3181,1.001
0.855000,-0.6408,-0.6982,0.3088,0.997
0.857000,-0.6399,-0.6990,0.3034,0.995
0.859000,-0.6401,-0.6992,0.3017,0.995
0.861000,-0.6396,-0.6980,0.2966,0.992
0.863000,-0.6320,-0.6939,0.2920,0.983
0.865000,-0.6289,-0.6934,0.2915,0.980
0.868000,-0.6316,-0.6936,0.2939,0.983
0.869000,-0.6357,-0.6939,0.2939,0.986
0.871000,-0.6411,-0.6943,0.2954,0.990
0.873000,-0.6501,-0.6963,0.2964,0.998
0.875000,-0.6562,-0.6987,0.2983,1.004
0.877000,-0.6584,-0.7004,0.2998,1.007
0.879000,-0.6628,-0.7034,0.2990,1.012
0.881000,-0.6658,-0.7063,0.2978,1.015
0.883000,-0.6643,-0.7068,0.2971,1.014
